Journal,ISSN,eISSN,Category,IF,Quartile,Rank,Open_Access,Edition
PHILOSOPHY OF SCIENCE,0031-8248,1539-767X,HISTORY & PHILOSOPHY OF SCIENCE,1.7,Q1, 10/62 ,10.73%,SCIE
PHILOSOPHY OF SCIENCE,0031-8248,1539-767X,HISTORY & PHILOSOPHY OF SCIENCE,1.7,Q2, 13/48 ,10.73%,SSCI
JOURNAL OF BIOMOLECULAR NMR,0925-2738,1573-5001,SPECTROSCOPY,2.7,Q2, 15/41 ,41.38%,SCIE
MASS SPECTROMETRY REVIEWS,0277-7037,1098-2787,SPECTROSCOPY,6.6,Q1, 2/41 ,15.54%,SCIE
SOCIOLOGICAL REVIEW,0038-0261,1467-954X,SOCIOLOGY,2.5,Q2, 51/149 ,38.49%,SSCI
EUROPEAN JOURNAL OF SOIL BIOLOGY,1164-5563,1778-3615,SOIL SCIENCE,4.2,Q2, 13/37 ,8.29%,SCIE
SOCIETY & NATURAL RESOURCES,0894-1920,1521-0723,SOCIOLOGY,2.5,Q2, 51/149 ,17.27%,SSCI
Archives of Agronomy and Soil Science,0365-0340,1476-3567,SOIL SCIENCE,2.4,Q3, 25/37 ,1.49%,SCIE
SOCIAL STUDIES OF SCIENCE,0306-3127,1460-3659,HISTORY & PHILOSOPHY OF SCIENCE,3.0,Q1, 4/62 ,40.58%,SCIE
SOCIAL STUDIES OF SCIENCE,0306-3127,1460-3659,HISTORY & PHILOSOPHY OF SCIENCE,3.0,Q1, 5/48 ,40.58%,SSCI
SOIL USE AND MANAGEMENT,0266-0032,1475-2743,SOIL SCIENCE,3.8,Q2, 18/37 ,16.89%,SCIE
Journal of Sport and Health Science,2095-2546,2213-2961,SPORT SCIENCES,11.7,Q1, 2/87 ,98.58%,SCIE
AGRICULTURE AND HUMAN VALUES,0889-048X,1572-8366,HISTORY & PHILOSOPHY OF SCIENCE,4.5,Q1, 1/62 ,35.79%,SCIE
AGRICULTURE AND HUMAN VALUES,0889-048X,1572-8366,HISTORY & PHILOSOPHY OF SCIENCE,4.5,Q1, 1/48 ,35.79%,SSCI
AGRICULTURE AND HUMAN VALUES,0889-048X,1572-8366,SOCIOLOGY,4.5,Q1, 12/149 ,35.79%,SSCI
WORK EMPLOYMENT AND SOCIETY,0950-0170,1469-8722,SOCIOLOGY,3.7,Q1, 20/149 ,40.96%,SSCI
BRITISH JOURNAL OF SOCIOLOGY,0007-1315,1468-4446,SOCIOLOGY,2.1,Q2, 74/149 ,30.73%,SSCI
SPECTROSCOPY AND SPECTRAL ANALYSIS,1000-0593,1000-0593,SPECTROSCOPY,0.7,Q4, 37/41 ,0%,SCIE
CONTEMPORARY SOCIOLOGY-A JOURNAL OF REVIEWS,0094-3061,1939-8638,SOCIOLOGY,0.2,Q4, 144/149 ,0%,SSCI
INTERNATIONAL JOURNAL OF SPORT NUTRITION AND EXERCISE METABOLISM,1526-484X,1543-2742,SPORT SCIENCES,2.5,Q2, 41/87 ,1.92%,SCIE
MAGNETIC RESONANCE IN CHEMISTRY,0749-1581,1097-458X,SPECTROSCOPY,2.0,Q3, 22/41 ,12.94%,SCIE
EXERCISE AND SPORT SCIENCES REVIEWS,0091-6331,1538-3008,SPORT SCIENCES,5.7,Q1, 6/87 ,15.19%,SCIE
PUBLIC UNDERSTANDING OF SCIENCE,0963-6625,1361-6609,HISTORY & PHILOSOPHY OF SCIENCE,4.1,Q1, 2/48 ,21.40%,SSCI
Sports Health-A Multidisciplinary Approach,1941-7381,1941-0921,SPORT SCIENCES,3.3,Q2, 24/87 ,7.91%,SCIE
THEORY AND SOCIETY,0304-2421,1573-7853,SOCIOLOGY,2.9,Q2, 39/149 ,30.53%,SSCI
CANADIAN JOURNAL OF SOIL SCIENCE,0008-4271,1918-1841,SOIL SCIENCE,1.7,Q4, 31/37 ,27.46%,SCIE
Journal of Human Kinetics,1640-5544,1899-7562,SPORT SCIENCES,2.3,Q3, 49/87 ,92.71%,SCIE
Sociological Methodology,0081-1750,1467-9531,SOCIOLOGY,3.0,Q1, 37/149 ,12.50%,SSCI
LEISURE SCIENCES,0149-0400,1521-0588,SOCIOLOGY,4.0,Q1, 17/149 ,6.51%,SSCI
SOCIOLOGICAL THEORY,0735-2751,1467-9558,SOCIOLOGY,4.4,Q1, 13/149 ,8.51%,SSCI
JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION,0021-8294,1468-5906,SOCIOLOGY,2.4,Q2, 59/149 ,8.66%,SSCI
HUMAN ECOLOGY,0300-7839,1572-9915,SOCIOLOGY,2.0,Q3, 79/149 ,31.34%,SSCI
MEDIA CULTURE & SOCIETY,0163-4437,1460-3675,SOCIOLOGY,3.3,Q1, 28/149 ,22.65%,SSCI
JOURNAL OF LEISURE RESEARCH,0022-2216,2159-6417,SOCIOLOGY,3.2,Q1, 29/149 ,2.56%,SSCI
Sociology Compass,1751-9020,1751-9020,SOCIOLOGY,2.7,Q2, 47/149 ,13.33%,SSCI
SOCIOLOGY OF EDUCATION,0038-0407,1939-8573,SOCIOLOGY,3.9,Q1, 19/149 ,13.79%,SSCI
REVISTA BRASILEIRA DE CIENCIA DO SOLO,0100-0683,1806-9657,SOIL SCIENCE,1.7,Q4, 31/37 ,94.48%,SCIE
JOURNAL OF SPORT MANAGEMENT,0888-4773,1543-270X,SPORT SCIENCES,3.6,Q1, 18/87 ,1.43%,SCIE
ECONOMY AND SOCIETY,0308-5147,1469-5766,SOCIOLOGY,3.4,Q1, 26/149 ,33.33%,SSCI
Journal of the International Society of Sports Nutrition,,1550-2783,SPORT SCIENCES,5.1,Q1, 8/87 ,97.06%,SCIE
APPLIED SPECTROSCOPY REVIEWS,0570-4928,1520-569X,SPECTROSCOPY,6.1,Q1, 3/41 ,9.85%,SCIE
SCIENCE AND ENGINEERING ETHICS,1353-3452,1471-5546,HISTORY & PHILOSOPHY OF SCIENCE,3.7,Q1, 2/62 ,50.71%,SCIE
LAW & SOCIETY REVIEW,0023-9216,1540-5893,SOCIOLOGY,2.9,Q2, 39/149 ,6.33%,SSCI
Physical Therapy in Sport,1466-853X,,SPORT SCIENCES,2.4,Q3, 45/87 ,11.79%,SCIE
Qualitative Research in Sport Exercise and Health,2159-676X,2159-6778,SPORT SCIENCES,4.9,Q1, 9/87 ,21.05%,SCIE
AMERICAN HISTORICAL REVIEW,0002-8762,1937-5239,HISTORY,1.5,Q1, 7/101 ,0.84%,SSCI
BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION,0142-5692,1465-3346,SOCIOLOGY,2.1,Q2, 74/149 ,31.95%,SSCI
JOURNAL OF ECONOMIC HISTORY,0022-0507,1471-6372,HISTORY OF SOCIAL SCIENCES,2.1,Q1, 3/34 ,34.12%,SSCI
JOURNAL OF AGING AND PHYSICAL ACTIVITY,1063-8652,1543-267X,SPORT SCIENCES,1.5,Q4, 72/87 ,1.43%,SCIE
SPORT EDUCATION AND SOCIETY,1357-3322,1470-1243,SPORT SCIENCES,2.9,Q2, 35/87 ,21.02%,SCIE
EURASIAN SOIL SCIENCE,1064-2293,1556-195X,SOIL SCIENCE,1.4,Q4, 35/37 ,3.82%,SCIE
POETICS,0304-422X,1872-7514,SOCIOLOGY,2.5,Q2, 51/149 ,22.83%,SSCI
PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,0079-6565,1873-3301,SPECTROSCOPY,6.1,Q1, 3/41 ,34.78%,SCIE
SOCIOLOGIA RURALIS,0038-0199,1467-9523,SOCIOLOGY,4.1,Q1, 16/149 ,42.22%,SSCI
Journal of Applied Biomechanics,1065-8483,1543-2688,SPORT SCIENCES,1.4,Q4, 75/87 ,0%,SCIE
Socio-Economic Review,1475-1461,1475-147X,SOCIOLOGY,3.7,Q1, 20/149 ,22.50%,SSCI
CLINICS IN SPORTS MEDICINE,0278-5919,1556-228X,SPORT SCIENCES,2.0,Q3, 60/87 ,0.59%,SCIE
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,0007-0882,1464-3537,HISTORY & PHILOSOPHY OF SCIENCE,3.4,Q1, 3/62 ,45.65%,SCIE
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,0007-0882,1464-3537,HISTORY & PHILOSOPHY OF SCIENCE,3.4,Q1, 4/48 ,45.65%,SSCI
PAST & PRESENT,0031-2746,1477-464X,HISTORY,1.8,Q1, 4/101 ,23.19%,SSCI
CURRENT SOCIOLOGY,0011-3921,1461-7064,SOCIOLOGY,2.0,Q3, 79/149 ,23.74%,SSCI
Journal of Sport Rehabilitation,1056-6716,1543-3072,SPORT SCIENCES,1.7,Q4, 68/87 ,0.39%,SCIE
Annual Review of Analytical Chemistry,1936-1327,1936-1335,SPECTROSCOPY,8.0,Q1, 1/41 ,1.79%,SCIE
JOURNAL OF APPLIED SPORT PSYCHOLOGY,1041-3200,1533-1571,SPORT SCIENCES,3.2,Q2, 28/87 ,13.22%,SCIE
JOURNAL OF TEACHING IN PHYSICAL EDUCATION,0273-5024,1543-2769,SPORT SCIENCES,2.8,Q2, 36/87 ,1.63%,SCIE
PEDOBIOLOGIA,0031-4056,1873-1511,SOIL SCIENCE,2.3,Q3, 26/37 ,9.02%,SCIE
STRENGTH AND CONDITIONING JOURNAL,1524-1602,1533-4295,SPORT SCIENCES,2.5,Q2, 41/87 ,2.35%,SCIE
JOURNAL OF MOTOR BEHAVIOR,0022-2895,1940-1027,SPORT SCIENCES,1.4,Q4, 75/87 ,5.58%,SCIE
SOCIOLOGICAL QUARTERLY,0038-0253,1533-8525,SOCIOLOGY,1.2,Q4, 112/149 ,7.38%,SSCI
International Soil and Water Conservation Research,2095-6339,2589-059X,SOIL SCIENCE,6.4,Q1, 6/37 ,85.81%,SCIE
International Journal of Performance Analysis in Sport,2474-8668,1474-8185,SPORT SCIENCES,2.1,Q3, 54/87 ,10.45%,SCIE
SOCIOLOGICAL FORUM,0884-8971,1573-7861,SOCIOLOGY,1.8,Q3, 89/149 ,9.80%,SSCI
DEVIANT BEHAVIOR,0163-9625,1521-0456,SOCIOLOGY,1.6,Q3, 95/149 ,7.28%,SSCI
DISCOURSE & SOCIETY,0957-9265,1460-3624,SOCIOLOGY,2.2,Q2, 71/149 ,23.93%,SSCI
LANGUAGE IN SOCIETY,0047-4045,1469-8013,SOCIOLOGY,1.5,Q3, 100/149 ,38.79%,SSCI
ANTHROZOOS,0892-7936,1753-0377,SOCIOLOGY,1.6,Q3, 95/149 ,16.28%,SSCI
International Review for the Sociology of Sport,1012-6902,1461-7218,SOCIOLOGY,2.3,Q2, 66/149 ,23.46%,SSCI
Current Sports Medicine Reports,1537-890X,1537-8918,SPORT SCIENCES,1.8,Q3, 65/87 ,0%,SCIE
Sport in Society,1743-0437,1743-0445,SOCIOLOGY,1.4,Q3, 105/149 ,14.59%,SSCI
PHYSICIAN AND SPORTSMEDICINE,0091-3847,2326-3660,SPORT SCIENCES,2.3,Q3, 49/87 ,4.55%,SCIE
OPTICS AND SPECTROSCOPY,0030-400X,1562-6911,SPECTROSCOPY,0.6,Q4, 39/41 ,0%,SCIE
ECONOMIC HISTORY REVIEW,0013-0117,1468-0289,HISTORY,2.2,Q1, 1/101 ,31.93%,SSCI
ECONOMIC HISTORY REVIEW,0013-0117,1468-0289,HISTORY OF SOCIAL SCIENCES,2.2,Q1, 2/34 ,31.93%,SSCI
Sports Biomechanics,1476-3141,1752-6116,SPORT SCIENCES,2.2,Q3, 52/87 ,10.16%,SCIE
YOUTH & SOCIETY,0044-118X,1552-8499,SOCIOLOGY,2.0,Q3, 79/149 ,7.84%,SSCI
BIOLOGY OF SPORT,0860-021X,2083-1862,SPORT SCIENCES,5.6,Q1, 7/87 ,0%,SCIE
Sports Medicine-Open,2199-1170,2198-9761,SPORT SCIENCES,4.6,Q1, 12/87 ,100%,SCIE
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,0906-4710,1651-1913,SOIL SCIENCE,1.6,Q4, 33/37 ,39.76%,SCIE
EUROPEAN SOCIETIES,1461-6696,1469-8307,SOCIOLOGY,8.1,Q1, 4/149 ,34.97%,SSCI
RURAL SOCIOLOGY,0036-0112,1549-0831,SOCIOLOGY,2.3,Q2, 66/149 ,12.70%,SSCI
POLITICS & SOCIETY,0032-3292,1552-7514,SOCIOLOGY,2.4,Q2, 59/149 ,17.81%,SSCI
PEDIATRIC EXERCISE SCIENCE,0899-8493,1543-2920,SPORT SCIENCES,1.8,Q3, 65/87 ,0%,SCIE
COMPARATIVE STUDIES IN SOCIETY AND HISTORY,0010-4175,1475-2999,HISTORY,0.7,Q2, 33/101 ,48.11%,SSCI
COMPARATIVE STUDIES IN SOCIETY AND HISTORY,0010-4175,1475-2999,SOCIOLOGY,0.7,Q4, 128/149 ,48.11%,SSCI
New Directions for Child and Adolescent Development,1520-3247,1534-8687,SOCIOLOGY,2.8,Q2, 45/149 ,76.80%,SSCI
Cornell Hospitality Quarterly,1938-9655,1938-9663,SOCIOLOGY,3.5,Q1, 25/149 ,7.26%,SSCI
Science & Education,0926-7220,1573-1901,HISTORY & PHILOSOPHY OF SCIENCE,2.8,Q1, 5/62 ,25.75%,SCIE
Sexualities,1363-4607,1461-7382,SOCIOLOGY,1.5,Q3, 100/149 ,19.59%,SSCI
SOCIOLOGICAL PERSPECTIVES,0731-1214,1533-8673,SOCIOLOGY,2.4,Q2, 59/149 ,9.04%,SSCI
SPORT PSYCHOLOGIST,0888-4781,1543-2793,SPORT SCIENCES,1.6,Q4, 71/87 ,0%,SCIE
GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS,1470-2266,1471-0374,SOCIOLOGY,2.4,Q2, 59/149 ,35.03%,SSCI
Soil Research,1838-675X,1838-6768,SOIL SCIENCE,1.6,Q4, 33/37 ,17.37%,SCIE
QUEST,0033-6297,1543-2750,SPORT SCIENCES,2.8,Q2, 36/87 ,8.24%,SCIE
STUDIES IN CONSERVATION,0039-3630,2047-0584,SPECTROSCOPY,0.8,Q4, 35/41 ,15.90%,SCIE
