Journal,ISSN,eISSN,Category,IF,Quartile,Edition
LANCET INFECTIOUS DISEASES,1473-3099,1474-4457,INFECTIOUS DISEASES,71.421,Q1,SCIE
NATURE REVIEWS CANCER,1474-175X,1474-1768,ONCOLOGY,69.8,Q1,SCIE
NATURE,0028-0836,1476-4687,MULTIDISCIPLINARY SCIENCES,69.504,Q1,SCIE
NATURE BIOTECHNOLOGY,1087-0156,1546-1696,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,68.164,Q1,SCIE
Nature Energy,2058-7546,2058-7546,"MATERIALS SCIENCE, MULTIDISCIPLINARY",67.439,Q1,SCIE
Nature Energy,2058-7546,2058-7546, ENERGY & FUELS,67.439,Q1,SCIE
CELL,0092-8674,1097-4172,CELL BIOLOGY,66.85,Q1,SCIE
CELL,0092-8674,1097-4172, BIOCHEMISTRY & MOLECULAR BIOLOGY,66.85,Q1,SCIE
Nature Reviews Disease Primers,2056-676X,2056-676X,"MEDICINE, GENERAL & INTERNAL",65.038,Q1,SCIE
Nature Reviews Clinical Oncology,1759-4774,1759-4782,ONCOLOGY,65.011,Q1,SCIE
SCIENCE,0036-8075,1095-9203,MULTIDISCIPLINARY SCIENCES,63.714,Q1,SCIE
CHEMICAL SOCIETY REVIEWS,0306-0012,1460-4744,"CHEMISTRY, MULTIDISCIPLINARY",60.615,Q1,SCIE
LANCET NEUROLOGY,1474-4422,1474-4465,CLINICAL NEUROLOGY,59.935,Q1,SCIE
NATURE REVIEWS GENETICS,1471-0056,1471-0064,GENETICS & HEREDITY,59.581,Q1,SCIE
Psychological Science in the Public Interest,1529-1006,1539-6053,"PSYCHOLOGY, MULTIDISCIPLINARY",56.2,Q1,SSCI
LANCET ONCOLOGY,1470-2045,1474-5488,ONCOLOGY,54.433,Q1,SCIE
ANNALS OF ONCOLOGY,0923-7534,1569-8041,ONCOLOGY,51.769,Q1,SCIE
ANNALS OF INTERNAL MEDICINE,0003-4819,1539-3704,"MEDICINE, GENERAL & INTERNAL",51.598,Q1,SCIE
JOURNAL OF CLINICAL ONCOLOGY,0732-183X,1527-7755,ONCOLOGY,50.717,Q1,SCIE
REVIEWS OF MODERN PHYSICS,0034-6861,1539-0756,"PHYSICS, MULTIDISCIPLINARY",50.485,Q1,SCIE
CLINICAL MICROBIOLOGY REVIEWS,0893-8512,1098-6618,MICROBIOLOGY,50.129,Q1,SCIE
Nature Reviews Cardiology,1759-5002,1759-5010,CARDIAC & CARDIOVASCULAR SYSTEMS,49.421,Q1,SCIE
PROGRESS IN MATERIALS SCIENCE,0079-6425,1873-2208,"MATERIALS SCIENCE, MULTIDISCIPLINARY",48.165,Q1,SCIE
NATURE METHODS,1548-7091,1548-7105,BIOCHEMICAL RESEARCH METHODS,47.99,Q1,SCIE
NATURE MATERIALS,1476-1122,1476-4660,"CHEMISTRY, PHYSICAL",47.656,Q1,SCIE
NATURE MATERIALS,1476-1122,1476-4660," PHYSICS, APPLIED",47.656,Q1,SCIE
NATURE MATERIALS,1476-1122,1476-4660," PHYSICS, CONDENSED MATTER",47.656,Q1,SCIE
NATURE MATERIALS,1476-1122,1476-4660," MATERIALS SCIENCE, MULTIDISCIPLINARY",47.656,Q1,SCIE
Nature Reviews Endocrinology,1759-5029,1759-5037,ENDOCRINOLOGY & METABOLISM,47.564,Q1,SCIE
PHYSIOLOGICAL REVIEWS,0031-9333,1522-1210,PHYSIOLOGY,46.5,Q1,SCIE
CELL RESEARCH,1001-0602,1748-7838,CELL BIOLOGY,46.297,Q1,SCIE
Joule,2542-4351,2542-4351,ENERGY & FUELS,46.048,Q1,SCIE
Joule,2542-4351,2542-4351," CHEMISTRY, PHYSICAL",46.048,Q1,SCIE
Joule,2542-4351,2542-4351," MATERIALS SCIENCE, MULTIDISCIPLINARY",46.048,Q1,SCIE
Lancet Gastroenterology & Hepatology,,2468-1253,GASTROENTEROLOGY & HEPATOLOGY,45.042,Q1,SCIE
Lancet Diabetes & Endocrinology,2213-8587,2213-8595,ENDOCRINOLOGY & METABOLISM,44.867,Q1,SCIE
Nature Reviews Neurology,1759-4758,1759-4766,CLINICAL NEUROLOGY,44.711,Q1,SCIE
JAMA Internal Medicine,2168-6106,2168-6114,"MEDICINE, GENERAL & INTERNAL",44.409,Q1,SCIE
IMMUNITY,1074-7613,1097-4180,IMMUNOLOGY,43.474,Q1,SCIE
Living Reviews in Relativity,2367-3613,1433-8351,"PHYSICS, PARTICLES & FIELDS",42.9,Q1,SCIE
Nature Reviews Nephrology,1759-5061,1759-507X,UROLOGY & NEPHROLOGY,42.439,Q1,SCIE
INTENSIVE CARE MEDICINE,0342-4642,1432-1238,CRITICAL CARE MEDICINE,41.787,Q1,SCIE
Molecular Cancer,,1476-4598,ONCOLOGY,41.444,Q1,SCIE
Molecular Cancer,,1476-4598, BIOCHEMISTRY & MOLECULAR BIOLOGY,41.444,Q1,SCIE
NATURE GENETICS,1061-4036,1546-1718,GENETICS & HEREDITY,41.307,Q1,SCIE
Nature Catalysis,2520-1158,2520-1158,"CHEMISTRY, PHYSICAL",40.706,Q1,SCIE
Nature Nanotechnology,1748-3387,1748-3395,"MATERIALS SCIENCE, MULTIDISCIPLINARY",40.523,Q1,SCIE
Nature Nanotechnology,1748-3387,1748-3395, NANOSCIENCE & NANOTECHNOLOGY,40.523,Q1,SCIE
CIRCULATION,0009-7322,1524-4539,CARDIAC & CARDIOVASCULAR SYSTEMS,39.918,Q1,SCIE
CIRCULATION,0009-7322,1524-4539, PERIPHERAL VASCULAR DISEASE,39.918,Q1,SCIE
Nature Photonics,1749-4885,1749-4893,OPTICS,39.728,Q1,SCIE
Nature Photonics,1749-4885,1749-4893," PHYSICS, APPLIED",39.728,Q1,SCIE
Energy & Environmental Science,1754-5692,1754-5706,"ENGINEERING, CHEMICAL",39.714,Q1,SCIE
Energy & Environmental Science,1754-5692,1754-5706," CHEMISTRY, MULTIDISCIPLINARY",39.714,Q1,SCIE
Energy & Environmental Science,1754-5692,1754-5706, ENVIRONMENTAL SCIENCES,39.714,Q1,SCIE
Energy & Environmental Science,1754-5692,1754-5706, ENERGY & FUELS,39.714,Q1,SCIE
JOURNAL OF TRAVEL MEDICINE,1195-1982,1708-8305,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",39.194,Q1,SCIE
JOURNAL OF TRAVEL MEDICINE,1195-1982,1708-8305," MEDICINE, GENERAL & INTERNAL",39.194,Q1,SCIE
JOURNAL OF TRAVEL MEDICINE,1195-1982,1708-8305, INFECTIOUS DISEASES,39.194,Q1,SCIE
Lancet Global Health,2214-109X,2214-109X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",38.927,Q1,SCIE
Lancet Global Health,2214-109X,2214-109X," PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",38.927,Q1,SSCI
NATURE REVIEWS NEUROSCIENCE,1471-003X,1471-0048,NEUROSCIENCES,38.755,Q1,SCIE
JOURNAL OF INFECTION,0163-4453,1532-2742,INFECTIOUS DISEASES,38.637,Q1,SCIE
CANCER CELL,1535-6108,1878-3686,ONCOLOGY,38.585,Q1,SCIE
CANCER CELL,1535-6108,1878-3686, CELL BIOLOGY,38.585,Q1,SCIE
Cancer Discovery,2159-8274,2159-8290,ONCOLOGY,38.272,Q1,SCIE
Signal Transduction and Targeted Therapy,2095-9907,2059-3635,CELL BIOLOGY,38.104,Q1,SCIE
Signal Transduction and Targeted Therapy,2095-9907,2059-3635, BIOCHEMISTRY & MOLECULAR BIOLOGY,38.104,Q1,SCIE
Cell Discovery,,2056-5968,CELL BIOLOGY,38.079,Q1,SCIE
Lancet Child & Adolescent Health,2352-4642,2352-4642,PEDIATRICS,37.746,Q1,SCIE
Journal of Public Transportation,1077-291X,,TRANSPORTATION,37.667,Q1,SSCI
Annual Review of Astronomy and Astrophysics,0066-4146,1545-4282,ASTRONOMY & ASTROPHYSICS,37.226,Q1,SCIE
Nature Reviews Earth & Environment,,2662-138X,ENVIRONMENTAL SCIENCES,37.214,Q1,SCIE
Nature Reviews Earth & Environment,,2662-138X," GEOSCIENCES, MULTIDISCIPLINARY",37.214,Q1,SCIE
Lancet Digital Health,,2589-7500,MEDICAL INFORMATICS,36.615,Q1,SCIE
Lancet Digital Health,,2589-7500," MEDICINE, GENERAL & INTERNAL",36.615,Q1,SCIE
MMWR Recommendations and Reports,1057-5987,1545-8601,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",36.286,Q1,SCIE
Nature Reviews Physics,,2522-5820,"PHYSICS, MULTIDISCIPLINARY",36.273,Q1,SCIE
Nature Reviews Physics,,2522-5820," PHYSICS, APPLIED",36.273,Q1,SCIE
EUROPEAN HEART JOURNAL,0195-668X,1522-9645,CARDIAC & CARDIOVASCULAR SYSTEMS,35.855,Q1,SCIE
ASTRONOMY AND ASTROPHYSICS REVIEW,0935-4956,1432-0754,ASTRONOMY & ASTROPHYSICS,35.786,Q1,SCIE
Lancet Rheumatology,2665-9913,2665-9913,RHEUMATOLOGY,35.482,Q1,SCIE
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,1873-216X,THERMODYNAMICS,35.339,Q1,SCIE
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,1873-216X," ENGINEERING, MECHANICAL",35.339,Q1,SCIE
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,1873-216X, ENERGY & FUELS,35.339,Q1,SCIE
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,1873-216X," ENGINEERING, CHEMICAL",35.339,Q1,SCIE
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,0149-2195,1545-861X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",35.301,Q1,SCIE
Military Medical Research,2095-7467,2054-9369,"MEDICINE, GENERAL & INTERNAL",34.915,Q1,SCIE
Nature Reviews Chemistry,,2397-3358,"CHEMISTRY, MULTIDISCIPLINARY",34.571,Q1,SCIE
GASTROENTEROLOGY,0016-5085,1528-0012,GASTROENTEROLOGY & HEPATOLOGY,33.883,Q1,SCIE
IEEE Communications Surveys and Tutorials,,1553-877X,TELECOMMUNICATIONS,33.84,Q1,SCIE
IEEE Communications Surveys and Tutorials,,1553-877X," COMPUTER SCIENCE, INFORMATION SYSTEMS",33.84,Q1,SCIE
EUROPEAN RESPIRATORY JOURNAL,0903-1936,1399-3003,RESPIRATORY SYSTEM,33.795,Q1,SCIE
MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,1879-212X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",33.667,Q1,SCIE
MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,1879-212X," PHYSICS, APPLIED",33.667,Q1,SCIE
Nature Electronics,2520-1131,2520-1131,"ENGINEERING, ELECTRICAL & ELECTRONIC",33.255,Q1,SCIE
JAMA Oncology,2374-2437,2374-2445,ONCOLOGY,33.006,Q1,SCIE
Electrochemical Energy Reviews,2520-8489,2520-8136,ELECTROCHEMISTRY,32.804,Q1,SCIE
Annual Review of Immunology,0732-0582,1545-3278,IMMUNOLOGY,32.481,Q1,SCIE
Annual Review of Pathology-Mechanisms of Disease,1553-4006,1553-4014,PATHOLOGY,32.35,Q1,SCIE
Nature Reviews Rheumatology,1759-4790,1759-4804,RHEUMATOLOGY,32.286,Q1,SCIE
ADVANCED MATERIALS,0935-9648,1521-4095,"CHEMISTRY, MULTIDISCIPLINARY",32.086,Q1,SCIE
ADVANCED MATERIALS,0935-9648,1521-4095," MATERIALS SCIENCE, MULTIDISCIPLINARY",32.086,Q1,SCIE
ADVANCED MATERIALS,0935-9648,1521-4095," PHYSICS, APPLIED",32.086,Q1,SCIE
ADVANCED MATERIALS,0935-9648,1521-4095," CHEMISTRY, PHYSICAL",32.086,Q1,SCIE
ADVANCED MATERIALS,0935-9648,1521-4095," PHYSICS, CONDENSED MATTER",32.086,Q1,SCIE
ADVANCED MATERIALS,0935-9648,1521-4095, NANOSCIENCE & NANOTECHNOLOGY,32.086,Q1,SCIE
GUT,0017-5749,1468-3288,GASTROENTEROLOGY & HEPATOLOGY,31.793,Q1,SCIE
Cell Metabolism,1550-4131,1932-7420,CELL BIOLOGY,31.373,Q1,SCIE
Cell Metabolism,1550-4131,1932-7420, ENDOCRINOLOGY & METABOLISM,31.373,Q1,SCIE
Cell Host & Microbe,1931-3128,1934-6069,VIROLOGY,31.316,Q1,SCIE
Cell Host & Microbe,1931-3128,1934-6069, PARASITOLOGY,31.316,Q1,SCIE
Cell Host & Microbe,1931-3128,1934-6069, MICROBIOLOGY,31.316,Q1,SCIE
PROGRESS IN POLYMER SCIENCE,0079-6700,1873-1619,POLYMER SCIENCE,31.281,Q1,SCIE
NATURE IMMUNOLOGY,1529-2908,1529-2916,IMMUNOLOGY,31.25,Q1,SCIE
Nature Microbiology,2058-5276,2058-5276,MICROBIOLOGY,30.964,Q1,SCIE
Science Immunology,2470-9468,2470-9468,IMMUNOLOGY,30.63,Q1,SCIE
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970,RESPIRATORY SYSTEM,30.528,Q1,SCIE
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970, CRITICAL CARE MEDICINE,30.528,Q1,SCIE
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573,1873-6270,"PHYSICS, MULTIDISCIPLINARY",30.51,Q1,SCIE
JAMA Cardiology,2380-6583,2380-6591,CARDIAC & CARDIOVASCULAR SYSTEMS,30.154,Q1,SCIE
Lancet Haematology,2352-3026,,HEMATOLOGY,30.153,Q1,SCIE
JOURNAL OF HEPATOLOGY,0168-8278,1600-0641,GASTROENTEROLOGY & HEPATOLOGY,30.083,Q1,SCIE
JAMA Neurology,2168-6149,2168-6157,CLINICAL NEUROLOGY,29.907,Q1,SCIE
Advanced Energy Materials,1614-6832,1614-6840,"CHEMISTRY, PHYSICAL",29.698,Q1,SCIE
Advanced Energy Materials,1614-6832,1614-6840, ENERGY & FUELS,29.698,Q1,SCIE
Advanced Energy Materials,1614-6832,1614-6840," MATERIALS SCIENCE, MULTIDISCIPLINARY",29.698,Q1,SCIE
Advanced Energy Materials,1614-6832,1614-6840," PHYSICS, CONDENSED MATTER",29.698,Q1,SCIE
Advanced Energy Materials,1614-6832,1614-6840," PHYSICS, APPLIED",29.698,Q1,SCIE
Nature Biomedical Engineering,2157-846X,2157-846X,"ENGINEERING, BIOMEDICAL",29.234,Q1,SCIE
RADIOLOGY,0033-8419,,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",29.146,Q1,SCIE
MMWR Surveillance Summaries,1545-8636,1545-8636,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",29.095,Q1,SCIE
NATURE NEUROSCIENCE,1097-6256,1546-1726,NEUROSCIENCES,28.771,Q1,SCIE
Lancet Planetary Health,,2542-5196,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",28.75,Q1,SSCI
Lancet Planetary Health,,2542-5196," PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",28.75,Q1,SCIE
Lancet Planetary Health,,2542-5196, ENVIRONMENTAL SCIENCES,28.75,Q1,SCIE
Living Reviews in Solar Physics,2367-3648,1614-4961,ASTRONOMY & ASTROPHYSICS,28.7,Q1,SCIE
Nature Climate Change,1758-678X,1758-6798,ENVIRONMENTAL STUDIES,28.66,Q1,SSCI
Nature Climate Change,1758-678X,1758-6798, ENVIRONMENTAL SCIENCES,28.66,Q1,SCIE
Nature Climate Change,1758-678X,1758-6798, METEOROLOGY & ATMOSPHERIC SCIENCES,28.66,Q1,SCIE
Annual Review of Plant Biology,1543-5008,1545-2123,PLANT SCIENCES,28.31,Q1,SCIE
NATURE CELL BIOLOGY,1465-7392,1476-4679,CELL BIOLOGY,28.213,Q1,SCIE
ANNALS OF THE RHEUMATIC DISEASES,0003-4967,1468-2060,RHEUMATOLOGY,27.973,Q1,SCIE
Annual Review of Psychology,0066-4308,1545-2085,PSYCHOLOGY,27.782,Q1,SCIE
Annual Review of Psychology,0066-4308,1545-2085," PSYCHOLOGY, MULTIDISCIPLINARY",27.782,Q1,SSCI
Science Robotics,2470-9476,2470-9476,ROBOTICS,27.541,Q1,SCIE
Annual Review of Biochemistry,0066-4154,1545-4509,BIOCHEMISTRY & MOLECULAR BIOLOGY,27.258,Q1,SCIE
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,1558-3597,CARDIAC & CARDIOVASCULAR SYSTEMS,27.203,Q1,SCIE
Nature Sustainability,2398-9629,2398-9629,ENVIRONMENTAL STUDIES,27.157,Q1,SSCI
Nature Sustainability,2398-9629,2398-9629, ENVIRONMENTAL SCIENCES,27.157,Q1,SCIE
Nature Sustainability,2398-9629,2398-9629, GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,27.157,Q1,SSCI
Dialogues in Human Geography,2043-8206,2043-8214,GEOGRAPHY,27.0,Q1,SSCI
Materials Today,1369-7021,1873-4103,"MATERIALS SCIENCE, MULTIDISCIPLINARY",26.943,Q1,SCIE
JAMA Pediatrics,2168-6203,2168-6211,PEDIATRICS,26.796,Q1,SCIE
JAMA Psychiatry,2168-622X,2168-6238,PSYCHIATRY,25.911,Q1,SCIE
JAMA Psychiatry,2168-622X,2168-6238, PSYCHIATRY,25.911,Q1,SSCI
Nature Machine Intelligence,,2522-5839,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",25.898,Q1,SCIE
Nature Machine Intelligence,,2522-5839," COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",25.898,Q1,SCIE
Chem,2451-9294,2451-9294,"CHEMISTRY, MULTIDISCIPLINARY",25.832,Q1,SCIE
STUDIES IN MYCOLOGY,0166-0616,1872-9797,MYCOLOGY,25.731,Q1,SCIE
PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,1423-0348,PSYCHIATRY,25.617,Q1,SCIE
PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,1423-0348, PSYCHOLOGY,25.617,Q1,SCIE
PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,1423-0348, PSYCHIATRY,25.617,Q1,SSCI
BLOOD,0006-4971,1528-0020,HEMATOLOGY,25.476,Q1,SCIE
Annual Review of Fluid Mechanics,0066-4189,1545-4479,MECHANICS,25.293,Q1,SCIE
Annual Review of Fluid Mechanics,0066-4189,1545-4479," PHYSICS, FLUIDS & PLASMAS",25.293,Q1,SCIE
Cell Stem Cell,1934-5909,1875-9777,CELL BIOLOGY,25.269,Q1,SCIE
Cell Stem Cell,1934-5909,1875-9777, CELL & TISSUE ENGINEERING,25.269,Q1,SCIE
ENDOCRINE REVIEWS,0163-769X,1945-7189,ENDOCRINOLOGY & METABOLISM,25.261,Q1,SCIE
REVIEWS OF GEOPHYSICS,8755-1209,1944-9208,GEOCHEMISTRY & GEOPHYSICS,24.946,Q1,SCIE
FUNGAL DIVERSITY,1560-2745,1878-9129,MYCOLOGY,24.902,Q1,SCIE
International Journal of Oral Science,1674-2818,2049-3169,"DENTISTRY, ORAL SURGERY & MEDICINE",24.897,Q1,SCIE
COORDINATION CHEMISTRY REVIEWS,0010-8545,1873-3840,"CHEMISTRY, INORGANIC & NUCLEAR",24.833,Q1,SCIE
InfoMat,,2567-3165,"MATERIALS SCIENCE, MULTIDISCIPLINARY",24.798,Q1,SCIE
Advances in Optics and Photonics,1943-8206,,OPTICS,24.75,Q1,SCIE
TRENDS IN COGNITIVE SCIENCES,1364-6613,1879-307X,NEUROSCIENCES,24.482,Q1,SCIE
TRENDS IN COGNITIVE SCIENCES,1364-6613,1879-307X," PSYCHOLOGY, EXPERIMENTAL",24.482,Q1,SSCI
TRENDS IN COGNITIVE SCIENCES,1364-6613,1879-307X, BEHAVIORAL SCIENCES,24.482,Q1,SCIE
ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,1520-4898,"CHEMISTRY, MULTIDISCIPLINARY",24.466,Q1,SCIE
APPLIED CATALYSIS B-ENVIRONMENTAL,0926-3373,1873-3883,"CHEMISTRY, PHYSICAL",24.319,Q1,SCIE
APPLIED CATALYSIS B-ENVIRONMENTAL,0926-3373,1873-3883," ENGINEERING, CHEMICAL",24.319,Q1,SCIE
APPLIED CATALYSIS B-ENVIRONMENTAL,0926-3373,1873-3883," ENGINEERING, ENVIRONMENTAL",24.319,Q1,SCIE
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,1939-3539,"ENGINEERING, ELECTRICAL & ELECTRONIC",24.314,Q1,SCIE
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,1939-3539," COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",24.314,Q1,SCIE
Nature Chemistry,1755-4330,1755-4349,"CHEMISTRY, MULTIDISCIPLINARY",24.274,Q1,SCIE
EUROPEAN UROLOGY,0302-2838,1873-7560,UROLOGY & NEPHROLOGY,24.267,Q1,SCIE
Nature Human Behaviour,2397-3374,2397-3374,MULTIDISCIPLINARY SCIENCES,24.252,Q1,SCIE
Nature Human Behaviour,2397-3374,2397-3374," PSYCHOLOGY, EXPERIMENTAL",24.252,Q1,SSCI
Nature Human Behaviour,2397-3374,2397-3374, NEUROSCIENCES,24.252,Q1,SCIE
ACS Energy Letters,2380-8195,2380-8195,ELECTROCHEMISTRY,23.991,Q1,SCIE
ACS Energy Letters,2380-8195,2380-8195," MATERIALS SCIENCE, MULTIDISCIPLINARY",23.991,Q1,SCIE
ACS Energy Letters,2380-8195,2380-8195, NANOSCIENCE & NANOTECHNOLOGY,23.991,Q1,SCIE
ACS Energy Letters,2380-8195,2380-8195," CHEMISTRY, PHYSICAL",23.991,Q1,SCIE
ACS Energy Letters,2380-8195,2380-8195, ENERGY & FUELS,23.991,Q1,SCIE
Annual Review of Condensed Matter Physics,1947-5454,1947-5462,"PHYSICS, CONDENSED MATTER",23.978,Q1,SCIE
ADVANCES IN PHYSICS,0001-8732,1460-6976,"PHYSICS, CONDENSED MATTER",23.75,Q1,SCIE
Nano-Micro Letters,2311-6706,2150-5551,"MATERIALS SCIENCE, MULTIDISCIPLINARY",23.655,Q1,SCIE
Nano-Micro Letters,2311-6706,2150-5551, NANOSCIENCE & NANOTECHNOLOGY,23.655,Q1,SCIE
Nano-Micro Letters,2311-6706,2150-5551," PHYSICS, APPLIED",23.655,Q1,SCIE
CIRCULATION RESEARCH,0009-7330,1524-4571,HEMATOLOGY,23.213,Q1,SCIE
CIRCULATION RESEARCH,0009-7330,1524-4571, PERIPHERAL VASCULAR DISEASE,23.213,Q1,SCIE
CIRCULATION RESEARCH,0009-7330,1524-4571, CARDIAC & CARDIOVASCULAR SYSTEMS,23.213,Q1,SCIE
National Science Review,2095-5138,2053-714X,MULTIDISCIPLINARY SCIENCES,23.178,Q1,SCIE
Nature Cancer,,2662-1347,ONCOLOGY,23.177,Q1,SCIE
Journal of Hematology & Oncology,,1756-8722,HEMATOLOGY,23.168,Q1,SCIE
Journal of Hematology & Oncology,,1756-8722, ONCOLOGY,23.168,Q1,SCIE
PSYCHOLOGICAL BULLETIN,0033-2909,1939-1455,PSYCHOLOGY,23.027,Q1,SCIE
PSYCHOLOGICAL BULLETIN,0033-2909,1939-1455," PSYCHOLOGY, MULTIDISCIPLINARY",23.027,Q1,SSCI
DRUG RESISTANCE UPDATES,1368-7646,1532-2084,PHARMACOLOGY & PHARMACY,22.841,Q1,SCIE
Annual Review of Entomology,0066-4170,1545-4487,ENTOMOLOGY,22.682,Q1,SCIE
Trends in Chemistry,,2589-5974,"CHEMISTRY, MULTIDISCIPLINARY",22.448,Q1,SCIE
Annual Review of Physiology,0066-4278,1545-1585,PHYSIOLOGY,22.163,Q1,SCIE
Annual Review of Clinical Psychology,1548-5943,1548-5951,PSYCHOLOGY,22.098,Q1,SCIE
Annual Review of Clinical Psychology,1548-5943,1548-5951," PSYCHOLOGY, CLINICAL",22.098,Q1,SSCI
Cellular & Molecular Immunology,1672-7681,2042-0226,IMMUNOLOGY,22.096,Q1,SCIE
TRENDS IN PLANT SCIENCE,1360-1385,1878-4372,PLANT SCIENCES,22.012,Q1,SCIE
Molecular Plant,1674-2052,1752-9867,BIOCHEMISTRY & MOLECULAR BIOLOGY,21.949,Q1,SCIE
Molecular Plant,1674-2052,1752-9867, PLANT SCIENCES,21.949,Q1,SCIE
